month,period,district,tot_pop,tot_white,tot_black,tot_hisp,p50_inc
2005-01-01,1,1,38472,22608,4953,2543,91084.90740099942
2005-01-01,1,2,37992,630,35966,628,29890.17199745588
2005-01-01,1,3,78629,3217,71792,1371,28047.559481026005
2005-01-01,1,4,124519,9926,77314,35387,39010.22158061094
2005-01-01,1,5,74384,843,70053,2524,33146.904199946075
2005-01-01,1,6,89570,309,87288,906,34672.245770460606
2005-01-01,1,7,71616,265,69321,1172,23960.592096623615
2005-01-01,1,8,247373,51491,52219,139854,49069.150964380584
2005-01-01,1,9,154400,23416,18775,94313,36323.727884780805
2005-01-01,1,10,117209,4204,39545,72559,29147.49186885846
2005-01-01,1,11,72356,1794,61028,8493,26337.89059833065
2005-01-01,1,12,67385,20983,11737,27796,52560.592700932604
2005-01-01,1,13,56938,29374,10470,14123,61949.53247343876
2005-01-01,1,14,120999,50502,8740,55765,61849.46498489269
2005-01-01,1,15,57816,943,53971,2142,27940.008433779956
2005-01-01,1,16,200465,137950,2028,46478,64130.009980213974
2005-01-01,1,17,144451,55798,4803,62490,55060.057577077394
2005-01-01,1,18,114472,86195,10623,5698,87939.2372898094
2005-01-01,1,19,106218,84719,2671,11360,93097.5696425188
2005-01-01,1,20,89140,48166,9498,16352,52332.7159687798
2005-01-01,1,21,69813,16709,32673,2800,45464.24450115845
2005-01-01,1,22,101879,34930,61918,3360,65103.414276256946
2005-01-01,1,23,94560,65845,10626,8648,58692.04464220799
2005-01-01,1,24,139915,59784,25202,29634,44899.58259847497
2005-01-01,1,25,199152,29288,32850,132050,40940.779706306304
2005-02-01,1,1,38472,22608,4953,2543,91084.90740099942
2005-02-01,1,2,37992,630,35966,628,29890.17199745588
2005-02-01,1,3,78629,3217,71792,1371,28047.559481026005
2005-02-01,1,4,124519,9926,77314,35387,39010.22158061094
2005-02-01,1,5,74384,843,70053,2524,33146.904199946075
2005-02-01,1,6,89570,309,87288,906,34672.245770460606
2005-02-01,1,7,71616,265,69321,1172,23960.592096623615
2005-02-01,1,8,247373,51491,52219,139854,49069.150964380584
2005-02-01,1,9,154400,23416,18775,94313,36323.727884780805
2005-02-01,1,10,117209,4204,39545,72559,29147.49186885846
2005-02-01,1,11,72356,1794,61028,8493,26337.89059833065
2005-02-01,1,12,67385,20983,11737,27796,52560.592700932604
2005-02-01,1,13,56938,29374,10470,14123,61949.53247343876
2005-02-01,1,14,120999,50502,8740,55765,61849.46498489269
2005-02-01,1,15,57816,943,53971,2142,27940.008433779956
2005-02-01,1,16,200465,137950,2028,46478,64130.009980213974
2005-02-01,1,17,144451,55798,4803,62490,55060.057577077394
2005-02-01,1,18,114472,86195,10623,5698,87939.2372898094
2005-02-01,1,19,106218,84719,2671,11360,93097.5696425188
2005-02-01,1,20,89140,48166,9498,16352,52332.7159687798
2005-02-01,1,21,69813,16709,32673,2800,45464.24450115845
2005-02-01,1,22,101879,34930,61918,3360,65103.414276256946
2005-02-01,1,23,94560,65845,10626,8648,58692.04464220799
2005-02-01,1,24,139915,59784,25202,29634,44899.58259847497
2005-02-01,1,25,199152,29288,32850,132050,40940.779706306304
2005-03-01,1,1,38472,22608,4953,2543,91084.90740099942
2005-03-01,1,2,37992,630,35966,628,29890.17199745588
2005-03-01,1,3,78629,3217,71792,1371,28047.559481026005
2005-03-01,1,4,124519,9926,77314,35387,39010.22158061094
2005-03-01,1,5,74384,843,70053,2524,33146.904199946075
2005-03-01,1,6,89570,309,87288,906,34672.245770460606
2005-03-01,1,7,71616,265,69321,1172,23960.592096623615
2005-03-01,1,8,247373,51491,52219,139854,49069.150964380584
2005-03-01,1,9,154400,23416,18775,94313,36323.727884780805
2005-03-01,1,10,117209,4204,39545,72559,29147.49186885846
2005-03-01,1,11,72356,1794,61028,8493,26337.89059833065
2005-03-01,1,12,67385,20983,11737,27796,52560.592700932604
2005-03-01,1,13,56938,29374,10470,14123,61949.53247343876
